name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers
Hero Tale,28-03-2024,0.0005567296555537,0.1497599039615846,0.001619972832095,77.4947975197993,70,Indie,Weird Johnny Studio,Weird Johnny Studio
Gourdlets,15-08-2024,0.000937913631135,0.1497599039615846,0.0025668332607067,4.510849803181503,95,Indie,"Future Friends Games,AuntyGames",AuntyGames
Duelists of Eden,07-03-2024,0.0006104083753377,0.1497599039615846,0.001915569699284,8.882961916395775,97,Indie,Thomas Moon Kang,Thomas Moon Kang
IIslands of War,10-03-2024,0.0001032908698874,0.1497599039615846,0.0002743855244988,11.074408043059782,87,Indie,jwiggs,jwiggs
Horny Suika: Wet Watermelon,02-08-2024,0.0002326077857306,0.1497599039615846,0.0003450610228886,3.632772524791276,91,Indie,Tora Creatives,Tora Creatives
Mirage Feathers,06-09-2024,0.0002000426957283,0.1497599039615846,0.000202666845321,1.1706268898128227,100,Indie,oyasumi Workshop,oyasumi Workshop
Night Bus,08-04-2024,0.0001723574893428,0.1497599039615846,0.0001655469956132,0.8439386307135183,89,Indie,Liquid Static Studio,Liquid Static Studio
Coin Factory,21-06-2024,0.0001630531779135,0.1497599039615846,0.0001429737224498,5.457562492504714,84,Indie,Lino Rabolini,Lino Rabolini
Necroking,04-09-2024,0.0001972448957881,0.1497599039615846,0.0001925827643699,3.0815895559559663,85,Indie,Alawar,KORO.GAMES
Prisoners,15-08-2024,0.0004703882480951,0.1497599039615846,0.0007935128527696,4.380900979983956,81,Indie,Brave Cat Games,Brave Cat Games
Rum & Gun,26-08-2024,0.0002656283315372,0.1497599039615846,0.0003485962466702,12.051587904666636,94,Indie,Borington,Borington
2番線 | Nibansen,18-01-2024,0.000191681828465,0.1497599039615846,0.0001975958276013,1.2029222325691964,81,Indie,MFC STUDIO,MFC STUDIO
Only Up: SKIBIDI TOGETHER,12-07-2024,0.0002608785781502,0.1497599039615846,0.0003113025334978,2.364922886217591,81,Indie,"Rosa Special Studio,Grand Technology Associates","Grand Technology Associates,Rosa Special Studio"
A Tower Full of Cats,20-05-2024,0.00132579931355,0.1497599039615846,0.0043648133033832,2.658659161885786,99,Indie,Devcats,Devcats
myPOPGOES,01-08-2024,0.0003498876553193,0.1497599039615846,0.0006150709835264,3.964125096733567,84,Indie,Clickteam,Kane Carter
Time Survivors,15-01-2024,0.0003927330334742,0.1497599039615846,0.0007335009802132,4.545911246301737,0,Indie,Lunar Chili,Lunar Chili
Commando Collection,26-07-2024,0.0004319672977527,0.1497599039615846,0.0010545108904886,2.195678782003565,99,Indie,Macrojoy,Macrojoy
勾八狂想曲,16-07-2024,0.0011494728521989,0.1497599039615846,0.0036645202449226,3.1321856073593546,93,Indie,勾八游戏,勾八游戏
Factory Town Idle,08-01-2024,0.0023956975302388,0.1497599039615846,0.0076491810827973,39.89461498709381,91,Indie,Erik Asmussen,Erik Asmussen
Feather Party,03-05-2024,0.0005594623903791,0.1497599039615846,0.0016091932972852,2.578855667114769,90,Indie,Teneke Kafalar Spotlight,threeW
